3.6573 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
10.7151 	WARNING 	Monitor specification not found. Creating a temporary one...
10.7178 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
36.5703 	DATA 	Keypress: lshift
36.5704 	DATA 	Keypress: t
38.1707 	DATA 	Keypress: lshift
38.1708 	DATA 	Keypress: t
39.7730 	DATA 	Keypress: lshift
39.7731 	DATA 	Keypress: t
41.3757 	DATA 	Keypress: lshift
41.3759 	DATA 	Keypress: t
42.9736 	DATA 	Keypress: lshift
42.9737 	DATA 	Keypress: t
44.0424 	DATA 	Keypress: lshift
44.0425 	DATA 	Keypress: a
44.5758 	DATA 	Keypress: lshift
44.5759 	DATA 	Keypress: t
46.1768 	DATA 	Keypress: lshift
46.1769 	DATA 	Keypress: t
46.6438 	DATA 	Keypress: lshift
46.6439 	DATA 	Keypress: b
47.7775 	DATA 	Keypress: lshift
47.7776 	DATA 	Keypress: t
49.3629 	DATA 	Keypress: lshift
49.3630 	DATA 	Keypress: t
50.9629 	DATA 	Keypress: lshift
50.9630 	DATA 	Keypress: t
52.3992 	DATA 	Keypress: lshift
52.3993 	DATA 	Keypress: a
52.5657 	DATA 	Keypress: lshift
52.5658 	DATA 	Keypress: t
54.1658 	DATA 	Keypress: lshift
54.1659 	DATA 	Keypress: t
55.7664 	DATA 	Keypress: lshift
55.7666 	DATA 	Keypress: t
56.1840 	DATA 	Keypress: c
57.3680 	DATA 	Keypress: lshift
57.3682 	DATA 	Keypress: t
58.9692 	DATA 	Keypress: lshift
58.9693 	DATA 	Keypress: t
60.5698 	DATA 	Keypress: lshift
60.5699 	DATA 	Keypress: t
60.6547 	DATA 	Keypress: lshift
60.6549 	DATA 	Keypress: a
61.8713 	DATA 	Keypress: lshift
61.8714 	DATA 	Keypress: a
62.1718 	DATA 	Keypress: lshift
62.1719 	DATA 	Keypress: t
63.7725 	DATA 	Keypress: lshift
63.7726 	DATA 	Keypress: t
65.3247 	DATA 	Keypress: b
65.3738 	DATA 	Keypress: lshift
65.3739 	DATA 	Keypress: t
66.9744 	DATA 	Keypress: lshift
66.9745 	DATA 	Keypress: t
68.5763 	DATA 	Keypress: lshift
68.5764 	DATA 	Keypress: t
70.1619 	DATA 	Keypress: lshift
70.1620 	DATA 	Keypress: t
70.7777 	DATA 	Keypress: lshift
70.7778 	DATA 	Keypress: a
71.7626 	DATA 	Keypress: lshift
71.7627 	DATA 	Keypress: t
72.6621 	DATA 	Keypress: lshift
72.6622 	DATA 	Keypress: b
73.3622 	DATA 	Keypress: lshift
73.3623 	DATA 	Keypress: t
74.9649 	DATA 	Keypress: lshift
74.9650 	DATA 	Keypress: t
76.5652 	DATA 	Keypress: lshift
76.5653 	DATA 	Keypress: t
77.2487 	DATA 	Keypress: lshift
77.2488 	DATA 	Keypress: a
78.1659 	DATA 	Keypress: lshift
78.1660 	DATA 	Keypress: t
79.3529 	DATA 	Keypress: lshift
79.3531 	DATA 	Keypress: a
79.7668 	DATA 	Keypress: lshift
79.7669 	DATA 	Keypress: t
81.3684 	DATA 	Keypress: lshift
81.3685 	DATA 	Keypress: t
82.9698 	DATA 	Keypress: lshift
82.9699 	DATA 	Keypress: t
83.9214 	DATA 	Keypress: lshift
83.9215 	DATA 	Keypress: c
84.5703 	DATA 	Keypress: lshift
84.5704 	DATA 	Keypress: t
85.3053 	DATA 	Keypress: lshift
85.3054 	DATA 	Keypress: c
86.1719 	DATA 	Keypress: lshift
86.1720 	DATA 	Keypress: t
87.7724 	DATA 	Keypress: lshift
87.7725 	DATA 	Keypress: t
88.9739 	DATA 	Keypress: a
89.3740 	DATA 	Keypress: lshift
89.3741 	DATA 	Keypress: t
90.9754 	DATA 	Keypress: lshift
90.9755 	DATA 	Keypress: t
92.5763 	DATA 	Keypress: lshift
92.5764 	DATA 	Keypress: t
92.8607 	DATA 	Keypress: lshift
92.8608 	DATA 	Keypress: b
94.1618 	DATA 	Keypress: lshift
94.1619 	DATA 	Keypress: t
95.5290 	DATA 	Keypress: lshift
95.5291 	DATA 	Keypress: c
95.7621 	DATA 	Keypress: lshift
95.7622 	DATA 	Keypress: t
97.3639 	DATA 	Keypress: lshift
97.3640 	DATA 	Keypress: t
98.9645 	DATA 	Keypress: lshift
98.9646 	DATA 	Keypress: t
99.8868 	DATA 	Keypress: lshift
99.8871 	DATA 	Keypress: c
100.5659 	DATA 	Keypress: lshift
100.5660 	DATA 	Keypress: t
102.1685 	DATA 	Keypress: lshift
102.1686 	DATA 	Keypress: t
102.5006 	DATA 	Keypress: lshift
102.5007 	DATA 	Keypress: c
103.7676 	DATA 	Keypress: lshift
103.7677 	DATA 	Keypress: t
105.3682 	DATA 	Keypress: lshift
105.3683 	DATA 	Keypress: t
106.9695 	DATA 	Keypress: lshift
106.9696 	DATA 	Keypress: t
107.0041 	DATA 	Keypress: lshift
107.0042 	DATA 	Keypress: c
108.5718 	DATA 	Keypress: lshift
108.5719 	DATA 	Keypress: t
109.2552 	DATA 	Keypress: lshift
109.2553 	DATA 	Keypress: c
110.1717 	DATA 	Keypress: lshift
110.1718 	DATA 	Keypress: t
111.7738 	DATA 	Keypress: lshift
111.7739 	DATA 	Keypress: t
113.3744 	DATA 	Keypress: lshift
113.3745 	DATA 	Keypress: t
114.6929 	DATA 	Keypress: lshift
114.6930 	DATA 	Keypress: c
114.9759 	DATA 	Keypress: lshift
114.9760 	DATA 	Keypress: t
116.5770 	DATA 	Keypress: lshift
116.5771 	DATA 	Keypress: t
116.7939 	DATA 	Keypress: lshift
116.7940 	DATA 	Keypress: b
118.1625 	DATA 	Keypress: lshift
118.1626 	DATA 	Keypress: t
119.7626 	DATA 	Keypress: lshift
119.7627 	DATA 	Keypress: t
121.3630 	DATA 	Keypress: lshift
121.3631 	DATA 	Keypress: t
122.3483 	DATA 	Keypress: lshift
122.3484 	DATA 	Keypress: a
122.9652 	DATA 	Keypress: lshift
122.9653 	DATA 	Keypress: t
124.5660 	DATA 	Keypress: lshift
124.5661 	DATA 	Keypress: t
124.8834 	DATA 	Keypress: lshift
124.8834 	DATA 	Keypress: b
126.1670 	DATA 	Keypress: lshift
126.1671 	DATA 	Keypress: t
127.7675 	DATA 	Keypress: lshift
127.7676 	DATA 	Keypress: t
129.2029 	DATA 	Keypress: lshift
129.2030 	DATA 	Keypress: c
129.3695 	DATA 	Keypress: lshift
129.3696 	DATA 	Keypress: t
130.9700 	DATA 	Keypress: lshift
130.9701 	DATA 	Keypress: t
131.8212 	DATA 	Keypress: lshift
131.8213 	DATA 	Keypress: c
132.5715 	DATA 	Keypress: lshift
132.5716 	DATA 	Keypress: t
134.1740 	DATA 	Keypress: lshift
134.1741 	DATA 	Keypress: t
135.7736 	DATA 	Keypress: lshift
135.7737 	DATA 	Keypress: t
137.1755 	DATA 	Keypress: lshift
137.1756 	DATA 	Keypress: a
137.3753 	DATA 	Keypress: lshift
137.3754 	DATA 	Keypress: t
138.9779 	DATA 	Keypress: lshift
138.9781 	DATA 	Keypress: t
139.2796 	DATA 	Keypress: b
140.5618 	DATA 	Keypress: lshift
140.5619 	DATA 	Keypress: t
142.1620 	DATA 	Keypress: lshift
142.1621 	DATA 	Keypress: t
143.6468 	DATA 	Keypress: lshift
143.6469 	DATA 	Keypress: a
143.7639 	DATA 	Keypress: lshift
143.7640 	DATA 	Keypress: t
145.3645 	DATA 	Keypress: lshift
145.3646 	DATA 	Keypress: t
146.9652 	DATA 	Keypress: lshift
146.9653 	DATA 	Keypress: t
147.0660 	DATA 	Keypress: b
148.5663 	DATA 	Keypress: lshift
148.5664 	DATA 	Keypress: t
150.1679 	DATA 	Keypress: lshift
150.1680 	DATA 	Keypress: t
151.6187 	DATA 	Keypress: lshift
151.6188 	DATA 	Keypress: a
151.7693 	DATA 	Keypress: lshift
151.7694 	DATA 	Keypress: t
153.3782 	DATA 	Keypress: lshift
153.3786 	DATA 	Keypress: t
153.9873 	DATA 	Keypress: b
154.9716 	DATA 	Keypress: lshift
154.9717 	DATA 	Keypress: t
156.5721 	DATA 	Keypress: lshift
156.5722 	DATA 	Keypress: t
158.1728 	DATA 	Keypress: lshift
158.1729 	DATA 	Keypress: t
158.5739 	DATA 	Keypress: c
159.7744 	DATA 	Keypress: lshift
159.7745 	DATA 	Keypress: t
160.7259 	DATA 	Keypress: a
