3.5827 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
43.3658 	WARNING 	Monitor specification not found. Creating a temporary one...
43.3717 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
78.3214 	DATA 	Keypress: lshift
78.3215 	DATA 	Keypress: t
79.9221 	DATA 	Keypress: lshift
79.9222 	DATA 	Keypress: t
81.5236 	DATA 	Keypress: lshift
81.5237 	DATA 	Keypress: t
83.1243 	DATA 	Keypress: lshift
83.1244 	DATA 	Keypress: t
84.7261 	DATA 	Keypress: lshift
84.7264 	DATA 	Keypress: t
86.3265 	DATA 	Keypress: lshift
86.3266 	DATA 	Keypress: t
87.9141 	DATA 	Keypress: lshift
87.9142 	DATA 	Keypress: t
89.5141 	DATA 	Keypress: lshift
89.5142 	DATA 	Keypress: t
91.1137 	DATA 	Keypress: lshift
91.1138 	DATA 	Keypress: t
92.7163 	DATA 	Keypress: lshift
92.7164 	DATA 	Keypress: t
94.3169 	DATA 	Keypress: lshift
94.3170 	DATA 	Keypress: t
95.9169 	DATA 	Keypress: lshift
95.9170 	DATA 	Keypress: t
97.5181 	DATA 	Keypress: lshift
97.5182 	DATA 	Keypress: t
99.1187 	DATA 	Keypress: lshift
99.1188 	DATA 	Keypress: t
100.7199 	DATA 	Keypress: lshift
100.7200 	DATA 	Keypress: t
102.3216 	DATA 	Keypress: lshift
102.3217 	DATA 	Keypress: t
103.9225 	DATA 	Keypress: lshift
103.9226 	DATA 	Keypress: t
105.5240 	DATA 	Keypress: lshift
105.5241 	DATA 	Keypress: t
107.1263 	DATA 	Keypress: lshift
107.1265 	DATA 	Keypress: t
108.7265 	DATA 	Keypress: lshift
108.7266 	DATA 	Keypress: t
110.3273 	DATA 	Keypress: lshift
110.3274 	DATA 	Keypress: t
111.9141 	DATA 	Keypress: lshift
111.9142 	DATA 	Keypress: t
113.5137 	DATA 	Keypress: lshift
113.5138 	DATA 	Keypress: t
115.1136 	DATA 	Keypress: lshift
115.1137 	DATA 	Keypress: t
116.7154 	DATA 	Keypress: lshift
116.7155 	DATA 	Keypress: t
118.3174 	DATA 	Keypress: lshift
118.3176 	DATA 	Keypress: t
119.9176 	DATA 	Keypress: lshift
119.9177 	DATA 	Keypress: t
121.5185 	DATA 	Keypress: lshift
121.5186 	DATA 	Keypress: t
123.1196 	DATA 	Keypress: lshift
123.1197 	DATA 	Keypress: t
124.7210 	DATA 	Keypress: lshift
124.7211 	DATA 	Keypress: t
126.3235 	DATA 	Keypress: lshift
126.3236 	DATA 	Keypress: t
127.9236 	DATA 	Keypress: lshift
127.9237 	DATA 	Keypress: t
129.5259 	DATA 	Keypress: lshift
129.5261 	DATA 	Keypress: t
131.1262 	DATA 	Keypress: lshift
131.1264 	DATA 	Keypress: t
132.7285 	DATA 	Keypress: lshift
132.7287 	DATA 	Keypress: t
134.3296 	DATA 	Keypress: lshift
134.3298 	DATA 	Keypress: t
135.9141 	DATA 	Keypress: lshift
135.9142 	DATA 	Keypress: t
137.5139 	DATA 	Keypress: lshift
137.5140 	DATA 	Keypress: t
139.1155 	DATA 	Keypress: lshift
139.1156 	DATA 	Keypress: t
140.7172 	DATA 	Keypress: lshift
140.7173 	DATA 	Keypress: t
142.3168 	DATA 	Keypress: lshift
142.3169 	DATA 	Keypress: t
143.9180 	DATA 	Keypress: lshift
143.9180 	DATA 	Keypress: t
145.5189 	DATA 	Keypress: lshift
145.5190 	DATA 	Keypress: t
147.1197 	DATA 	Keypress: lshift
147.1198 	DATA 	Keypress: t
148.7210 	DATA 	Keypress: lshift
148.7211 	DATA 	Keypress: t
150.3226 	DATA 	Keypress: lshift
150.3227 	DATA 	Keypress: t
151.9256 	DATA 	Keypress: lshift
151.9258 	DATA 	Keypress: t
153.5271 	DATA 	Keypress: lshift
153.5273 	DATA 	Keypress: t
155.1265 	DATA 	Keypress: lshift
155.1266 	DATA 	Keypress: t
156.7276 	DATA 	Keypress: lshift
156.7277 	DATA 	Keypress: t
158.3140 	DATA 	Keypress: lshift
158.3141 	DATA 	Keypress: t
159.9134 	DATA 	Keypress: lshift
159.9135 	DATA 	Keypress: t
161.5138 	DATA 	Keypress: lshift
161.5139 	DATA 	Keypress: t
163.1157 	DATA 	Keypress: lshift
163.1158 	DATA 	Keypress: t
164.7170 	DATA 	Keypress: lshift
164.7171 	DATA 	Keypress: t
166.3178 	DATA 	Keypress: lshift
166.3179 	DATA 	Keypress: t
167.9184 	DATA 	Keypress: lshift
167.9185 	DATA 	Keypress: t
169.5196 	DATA 	Keypress: lshift
169.5197 	DATA 	Keypress: t
171.1207 	DATA 	Keypress: lshift
171.1208 	DATA 	Keypress: t
172.7219 	DATA 	Keypress: lshift
172.7220 	DATA 	Keypress: t
174.3232 	DATA 	Keypress: lshift
174.3233 	DATA 	Keypress: t
175.9238 	DATA 	Keypress: lshift
175.9240 	DATA 	Keypress: t
177.5260 	DATA 	Keypress: lshift
177.5262 	DATA 	Keypress: t
179.1286 	DATA 	Keypress: lshift
179.1288 	DATA 	Keypress: t
180.7132 	DATA 	Keypress: lshift
180.7133 	DATA 	Keypress: t
182.3135 	DATA 	Keypress: lshift
182.3136 	DATA 	Keypress: t
183.9136 	DATA 	Keypress: lshift
183.9137 	DATA 	Keypress: t
185.5152 	DATA 	Keypress: lshift
185.5153 	DATA 	Keypress: t
187.1161 	DATA 	Keypress: lshift
187.1162 	DATA 	Keypress: t
188.7168 	DATA 	Keypress: lshift
188.7169 	DATA 	Keypress: t
190.3174 	DATA 	Keypress: lshift
190.3175 	DATA 	Keypress: t
191.9183 	DATA 	Keypress: lshift
191.9184 	DATA 	Keypress: t
193.5199 	DATA 	Keypress: lshift
193.5201 	DATA 	Keypress: t
195.1218 	DATA 	Keypress: lshift
195.1219 	DATA 	Keypress: t
196.7226 	DATA 	Keypress: lshift
196.7227 	DATA 	Keypress: t
198.3236 	DATA 	Keypress: lshift
198.3237 	DATA 	Keypress: t
199.9252 	DATA 	Keypress: lshift
199.9253 	DATA 	Keypress: t
201.5262 	DATA 	Keypress: lshift
201.5263 	DATA 	Keypress: t
203.1275 	DATA 	Keypress: lshift
203.1276 	DATA 	Keypress: t
204.7128 	DATA 	Keypress: lshift
204.7129 	DATA 	Keypress: t
206.3127 	DATA 	Keypress: lshift
206.3128 	DATA 	Keypress: t
207.9142 	DATA 	Keypress: lshift
207.9143 	DATA 	Keypress: t
209.5158 	DATA 	Keypress: lshift
209.5159 	DATA 	Keypress: t
211.1165 	DATA 	Keypress: lshift
211.1166 	DATA 	Keypress: t
212.7172 	DATA 	Keypress: lshift
212.7173 	DATA 	Keypress: t
214.3188 	DATA 	Keypress: lshift
214.3189 	DATA 	Keypress: t
215.9194 	DATA 	Keypress: lshift
215.9196 	DATA 	Keypress: t
217.5207 	DATA 	Keypress: lshift
217.5208 	DATA 	Keypress: t
