4.5903 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
14.9652 	WARNING 	Monitor specification not found. Creating a temporary one...
14.9775 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
95.7964 	DATA 	Keypress: lshift
95.7965 	DATA 	Keypress: t
97.3803 	DATA 	Keypress: lshift
97.3804 	DATA 	Keypress: t
98.9835 	DATA 	Keypress: lshift
98.9836 	DATA 	Keypress: t
100.5825 	DATA 	Keypress: lshift
100.5826 	DATA 	Keypress: t
102.1830 	DATA 	Keypress: lshift
102.1831 	DATA 	Keypress: t
103.7838 	DATA 	Keypress: lshift
103.7839 	DATA 	Keypress: t
105.3853 	DATA 	Keypress: lshift
105.3854 	DATA 	Keypress: t
106.9864 	DATA 	Keypress: lshift
106.9865 	DATA 	Keypress: t
108.5877 	DATA 	Keypress: lshift
108.5878 	DATA 	Keypress: t
110.1887 	DATA 	Keypress: lshift
110.1888 	DATA 	Keypress: t
111.7910 	DATA 	Keypress: lshift
111.7911 	DATA 	Keypress: t
113.3909 	DATA 	Keypress: lshift
113.3910 	DATA 	Keypress: t
114.9921 	DATA 	Keypress: lshift
114.9922 	DATA 	Keypress: t
116.5933 	DATA 	Keypress: lshift
116.5934 	DATA 	Keypress: t
118.1942 	DATA 	Keypress: lshift
118.1943 	DATA 	Keypress: t
119.7959 	DATA 	Keypress: lshift
119.7960 	DATA 	Keypress: t
121.3806 	DATA 	Keypress: lshift
121.3807 	DATA 	Keypress: t
122.9812 	DATA 	Keypress: lshift
122.9813 	DATA 	Keypress: t
124.5838 	DATA 	Keypress: lshift
124.5839 	DATA 	Keypress: t
126.1839 	DATA 	Keypress: lshift
126.1840 	DATA 	Keypress: t
127.7848 	DATA 	Keypress: lshift
127.7849 	DATA 	Keypress: t
129.3857 	DATA 	Keypress: lshift
129.3858 	DATA 	Keypress: t
130.9868 	DATA 	Keypress: lshift
130.9869 	DATA 	Keypress: t
132.5874 	DATA 	Keypress: lshift
132.5875 	DATA 	Keypress: t
134.1891 	DATA 	Keypress: lshift
134.1892 	DATA 	Keypress: t
135.7922 	DATA 	Keypress: lshift
135.7925 	DATA 	Keypress: t
137.3922 	DATA 	Keypress: lshift
137.3923 	DATA 	Keypress: t
138.9934 	DATA 	Keypress: lshift
138.9935 	DATA 	Keypress: t
140.5940 	DATA 	Keypress: lshift
140.5941 	DATA 	Keypress: t
142.1954 	DATA 	Keypress: lshift
142.1955 	DATA 	Keypress: t
143.7808 	DATA 	Keypress: lshift
143.7809 	DATA 	Keypress: t
145.3829 	DATA 	Keypress: lshift
145.3830 	DATA 	Keypress: t
146.9821 	DATA 	Keypress: lshift
146.9822 	DATA 	Keypress: t
148.5830 	DATA 	Keypress: lshift
148.5831 	DATA 	Keypress: t
150.1843 	DATA 	Keypress: lshift
150.1844 	DATA 	Keypress: t
151.7870 	DATA 	Keypress: lshift
151.7871 	DATA 	Keypress: t
153.3873 	DATA 	Keypress: lshift
153.3874 	DATA 	Keypress: t
154.9875 	DATA 	Keypress: lshift
154.9876 	DATA 	Keypress: t
156.5888 	DATA 	Keypress: lshift
156.5889 	DATA 	Keypress: t
158.1899 	DATA 	Keypress: lshift
158.1900 	DATA 	Keypress: t
159.7909 	DATA 	Keypress: lshift
159.7910 	DATA 	Keypress: t
161.3919 	DATA 	Keypress: lshift
161.3920 	DATA 	Keypress: t
162.9931 	DATA 	Keypress: lshift
162.9932 	DATA 	Keypress: t
164.5944 	DATA 	Keypress: lshift
164.5945 	DATA 	Keypress: t
166.1804 	DATA 	Keypress: lshift
166.1805 	DATA 	Keypress: t
167.7821 	DATA 	Keypress: lshift
167.7822 	DATA 	Keypress: t
169.3813 	DATA 	Keypress: lshift
169.3814 	DATA 	Keypress: t
170.9834 	DATA 	Keypress: lshift
170.9835 	DATA 	Keypress: t
172.5835 	DATA 	Keypress: lshift
172.5837 	DATA 	Keypress: t
174.1849 	DATA 	Keypress: lshift
174.1850 	DATA 	Keypress: t
175.7856 	DATA 	Keypress: lshift
175.7857 	DATA 	Keypress: t
177.3864 	DATA 	Keypress: lshift
177.3865 	DATA 	Keypress: t
178.9876 	DATA 	Keypress: lshift
178.9877 	DATA 	Keypress: t
180.5893 	DATA 	Keypress: lshift
180.5894 	DATA 	Keypress: t
182.1906 	DATA 	Keypress: lshift
182.1907 	DATA 	Keypress: t
183.7914 	DATA 	Keypress: lshift
183.7915 	DATA 	Keypress: t
185.3927 	DATA 	Keypress: lshift
185.3928 	DATA 	Keypress: t
186.9943 	DATA 	Keypress: lshift
186.9944 	DATA 	Keypress: t
188.5954 	DATA 	Keypress: lshift
188.5955 	DATA 	Keypress: t
190.1803 	DATA 	Keypress: lshift
190.1804 	DATA 	Keypress: t
191.7829 	DATA 	Keypress: lshift
191.7830 	DATA 	Keypress: t
193.3818 	DATA 	Keypress: lshift
193.3819 	DATA 	Keypress: t
194.9826 	DATA 	Keypress: lshift
194.9827 	DATA 	Keypress: t
196.5842 	DATA 	Keypress: lshift
196.5843 	DATA 	Keypress: t
198.1851 	DATA 	Keypress: lshift
198.1852 	DATA 	Keypress: t
199.7862 	DATA 	Keypress: lshift
199.7863 	DATA 	Keypress: t
201.3874 	DATA 	Keypress: lshift
201.3875 	DATA 	Keypress: t
202.9896 	DATA 	Keypress: lshift
202.9897 	DATA 	Keypress: t
204.5896 	DATA 	Keypress: lshift
204.5897 	DATA 	Keypress: t
206.1908 	DATA 	Keypress: lshift
206.1909 	DATA 	Keypress: t
