3.5463 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.5897 	WARNING 	Monitor specification not found. Creating a temporary one...
9.5923 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1920, 1080]. Using actual size
45.2816 	DATA 	Keypress: lshift
45.2817 	DATA 	Keypress: t
46.8813 	DATA 	Keypress: lshift
46.8814 	DATA 	Keypress: t
48.4832 	DATA 	Keypress: lshift
48.4833 	DATA 	Keypress: t
50.0842 	DATA 	Keypress: lshift
50.0843 	DATA 	Keypress: t
51.6847 	DATA 	Keypress: lshift
51.6848 	DATA 	Keypress: t
53.0699 	DATA 	Keypress: c
53.2878 	DATA 	Keypress: lshift
53.2880 	DATA 	Keypress: t
54.8885 	DATA 	Keypress: lshift
54.8887 	DATA 	Keypress: t
56.0885 	DATA 	Keypress: c
56.4878 	DATA 	Keypress: lshift
56.4879 	DATA 	Keypress: t
58.0895 	DATA 	Keypress: lshift
58.0896 	DATA 	Keypress: t
59.6906 	DATA 	Keypress: lshift
59.6907 	DATA 	Keypress: t
60.5584 	DATA 	Keypress: c
61.2911 	DATA 	Keypress: lshift
61.2912 	DATA 	Keypress: t
61.7089 	DATA 	Keypress: c
62.8924 	DATA 	Keypress: lshift
62.8925 	DATA 	Keypress: t
64.4937 	DATA 	Keypress: lshift
64.4938 	DATA 	Keypress: t
64.7781 	DATA 	Keypress: c
66.0954 	DATA 	Keypress: lshift
66.0955 	DATA 	Keypress: t
67.3629 	DATA 	Keypress: lshift
67.3630 	DATA 	Keypress: a
67.6965 	DATA 	Keypress: lshift
67.6966 	DATA 	Keypress: t
69.2811 	DATA 	Keypress: lshift
69.2812 	DATA 	Keypress: t
70.8818 	DATA 	Keypress: lshift
70.8819 	DATA 	Keypress: t
72.3164 	DATA 	Keypress: lshift
72.3165 	DATA 	Keypress: a
72.4836 	DATA 	Keypress: lshift
72.4837 	DATA 	Keypress: t
73.9176 	DATA 	Keypress: lshift
73.9177 	DATA 	Keypress: a
74.0841 	DATA 	Keypress: lshift
74.0842 	DATA 	Keypress: t
75.6871 	DATA 	Keypress: lshift
75.6872 	DATA 	Keypress: t
77.2864 	DATA 	Keypress: lshift
77.2865 	DATA 	Keypress: t
78.8873 	DATA 	Keypress: lshift
78.8874 	DATA 	Keypress: t
79.7724 	DATA 	Keypress: c
80.4891 	DATA 	Keypress: lshift
80.4892 	DATA 	Keypress: t
81.8403 	DATA 	Keypress: lshift
81.8404 	DATA 	Keypress: a
82.1425 	DATA 	Keypress: lshift
82.1426 	DATA 	Keypress: t
83.6910 	DATA 	Keypress: lshift
83.6911 	DATA 	Keypress: t
85.2921 	DATA 	Keypress: lshift
85.2922 	DATA 	Keypress: t
85.8096 	DATA 	Keypress: c
86.8932 	DATA 	Keypress: lshift
86.8933 	DATA 	Keypress: t
88.4796 	DATA 	Keypress: lshift
88.4798 	DATA 	Keypress: a
88.4800 	DATA 	Keypress: lshift
88.4801 	DATA 	Keypress: t
90.0798 	DATA 	Keypress: lshift
90.0799 	DATA 	Keypress: t
91.6804 	DATA 	Keypress: lshift
91.6805 	DATA 	Keypress: t
92.4306 	DATA 	Keypress: c
93.2817 	DATA 	Keypress: lshift
93.2818 	DATA 	Keypress: t
94.8823 	DATA 	Keypress: lshift
94.8824 	DATA 	Keypress: t
95.1829 	DATA 	Keypress: lshift
95.1830 	DATA 	Keypress: a
96.4834 	DATA 	Keypress: lshift
96.4835 	DATA 	Keypress: t
98.0843 	DATA 	Keypress: lshift
98.0844 	DATA 	Keypress: t
99.6858 	DATA 	Keypress: lshift
99.6859 	DATA 	Keypress: t
