Weapon,Animal,HighThreat,LowThreat,Danger,Safe,Full_Loop.thisRepN,Full_Loop.thisTrialN,Full_Loop.thisN,Full_Loop.thisIndex,Weapon_loop.thisRepN,Weapon_loop.thisTrialN,Weapon_loop.thisN,Weapon_loop.thisIndex,Weapon_img_loop.thisRepN,Weapon_img_loop.thisTrialN,Weapon_img_loop.thisN,Weapon_img_loop.thisIndex,Animal_loop.thisRepN,Animal_loop.thisTrialN,Animal_loop.thisN,Animal_loop.thisIndex,Animal_img_loop.thisRepN,Animal_img_loop.thisTrialN,Animal_img_loop.thisN,Animal_img_loop.thisIndex,Low_Threat_loop.thisRepN,Low_Threat_loop.thisTrialN,Low_Threat_loop.thisN,Low_Threat_loop.thisIndex,Low_Threat_img_loop.thisRepN,Low_Threat_img_loop.thisTrialN,Low_Threat_img_loop.thisN,Low_Threat_img_loop.thisIndex,Safe_loop.thisRepN,Safe_loop.thisTrialN,Safe_loop.thisN,Safe_loop.thisIndex,Safe_img_loop.thisRepN,Safe_img_loop.thisTrialN,Safe_img_loop.thisN,Safe_img_loop.thisIndex,Danger_loop.thisRepN,Danger_loop.thisTrialN,Danger_loop.thisN,Danger_loop.thisIndex,Danger_img_loop.thisRepN,Danger_img_loop.thisTrialN,Danger_img_loop.thisN,Danger_img_loop.thisIndex,High_Threat_loop.thisRepN,High_Threat_loop.thisTrialN,High_Threat_loop.thisN,High_Threat_loop.thisIndex,High_Threat_img_loop.thisRepN,High_Threat_img_loop.thisTrialN,High_Threat_img_loop.thisN,High_Threat_img_loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.corr,trigger_resp.rt,wait.started,weapon_img.started,ISI_weapon.started,weapon_img.stopped,ITI_Weapon.started,anima_img.started,ISI_animal.started,anima_img.stopped,ITI_Animal.started,Low_Threat_img.started,ISI_low_threat.started,Low_Threat_img.stopped,ITI_Low_Threat.started,safe_img.started,ISI_safe.started,safe_img.stopped,ITI_Safe.started,danger_img.started,ISI_danger.started,danger_img.stopped,ITI_Danger.started,ITI_Danger.stopped,High_Threat_img.started,ISI_High_Threat.started,High_Threat_img.stopped,ITI_High_Threat.started,completion.started,completion_resp.started,completion_resp.keys,completion_resp.rt,participant,session (pre/post),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.586432582931593,15.586432582931593,['t'],0,[0.8929612499196082],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.518119666958228,21.556721542030573,21.793510207906365,21.860105500090867,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.91956058307551,22.193391332868487,22.22904883301817,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.321771249873564,22.593435582937673,22.629167374921963,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.72051562508568,22.993527707876638,23.029373874887824,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11662704194896,23.393390082987025,23.428622416919097,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.52071458287537,23.793394458014518,23.829207292059436,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.91820920794271,24.193376916926354,24.229268708033487,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.320425583049655,24.593332666903734,24.62902049999684,,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.712078667012975,,,,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74958366691135,36.99305195803754,37.05979420803487,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.12439408292994,37.39305158308707,37.42873475002125,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.52136691706255,37.793086082907394,37.829100624891,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.924410542007536,38.193035000003874,38.22891758289188,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.32002754206769,38.59403095790185,38.626383875031024,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.74514141702093,39.00241666706279,39.04219654202461,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1243489170447,39.393000167096034,39.42664145794697,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.53610083297826,39.795253332937136,39.842705707997084,,,,,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
