"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"7009.199999809265","{""Q0"":""WA_009""}","survey-text","0","7023","0.0-0.0-0.0","","","",""
"6841.300000190735","","html-keyboard-response","1","13866","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"158073.90000009537","","instructions","2","171942","0.0-2.0","","","[{""page_index"":0,""viewing_time"":4015.0999999046326},{""page_index"":1,""viewing_time"":7379.900000095367},{""page_index"":2,""viewing_time"":7483.900000095367},{""page_index"":3,""viewing_time"":7822.900000095367},{""page_index"":4,""viewing_time"":12297.900000095367},{""page_index"":5,""viewing_time"":10751.89999961853},{""page_index"":6,""viewing_time"":8030},{""page_index"":7,""viewing_time"":6002.900000095367},{""page_index"":8,""viewing_time"":6427.900000095367},{""page_index"":9,""viewing_time"":2928.0999999046326},{""page_index"":10,""viewing_time"":7060.800000190735},{""page_index"":11,""viewing_time"":5112.900000095367},{""page_index"":12,""viewing_time"":12145.89999961853},{""page_index"":13,""viewing_time"":7893.900000095367},{""page_index"":14,""viewing_time"":3125.9000000953674},{""page_index"":15,""viewing_time"":8294},{""page_index"":16,""viewing_time"":4122},{""page_index"":17,""viewing_time"":3073.9000000953674},{""page_index"":18,""viewing_time"":13825},{""page_index"":19,""viewing_time"":5663.799999713898},{""page_index"":20,""viewing_time"":7650.10000038147},{""page_index"":21,""viewing_time"":6964.699999809265}]",""
"4126.5","","image-keyboard-response","3","176073","0.0-3.0-0.0","img/cat.png","","","1"
"null","","html-keyboard-response","4","177575","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1885.3000001907349","","image-keyboard-response","5","179462","0.0-3.0-2.0","img/fist.png","","","1"
"null","","html-keyboard-response","6","180964","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","181967","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","183468","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2983.800000190735","","image-keyboard-response","9","186453","0.0-3.0-0.1","img/gun.png","","","1"
"null","","html-keyboard-response","10","187954","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2010.3000001907349","","image-keyboard-response","11","189966","0.0-3.0-2.1","img/goose.png","","","1"
"null","","html-keyboard-response","12","191468","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","192470","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","193971","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2431.6000003814697","","image-keyboard-response","15","196405","0.0-3.0-0.2","img/crow.png","","","1"
