"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"9975","{""Q0"":""WA_028""}","survey-text","0","9990","0.0-0.0-0.0","","","",""
"2400.9000000059605","","html-keyboard-response","1","12393","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"108887","","instructions","2","121282","0.0-2.0","","","[{""page_index"":0,""viewing_time"":4533.5999999940395},{""page_index"":1,""viewing_time"":3157.7999999970198},{""page_index"":2,""viewing_time"":5108.9000000059605},{""page_index"":3,""viewing_time"":5343.9000000059605},{""page_index"":4,""viewing_time"":11079.199999988079},{""page_index"":5,""viewing_time"":5643.70000000298},{""page_index"":6,""viewing_time"":6365.100000008941},{""page_index"":7,""viewing_time"":5426},{""page_index"":8,""viewing_time"":3656.7999999970198},{""page_index"":9,""viewing_time"":4033.2999999970198},{""page_index"":10,""viewing_time"":4433.79999999702},{""page_index"":11,""viewing_time"":2885.9000000059605},{""page_index"":12,""viewing_time"":5727.899999991059},{""page_index"":13,""viewing_time"":7592},{""page_index"":14,""viewing_time"":3556},{""page_index"":15,""viewing_time"":3531.9000000059605},{""page_index"":16,""viewing_time"":3083.9000000059605},{""page_index"":17,""viewing_time"":2745},{""page_index"":18,""viewing_time"":7866},{""page_index"":19,""viewing_time"":4194.899999991059},{""page_index"":20,""viewing_time"":5700.100000008941},{""page_index"":21,""viewing_time"":3220.8999999910593}]",""
"2188.2000000029802","","image-keyboard-response","3","123476","0.0-3.0-0.0","img/lion.png","","","2"
"null","","html-keyboard-response","4","124978","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2534.9000000059605","","image-keyboard-response","5","127514","0.0-3.0-2.0","img/grenade.png","","","1"
"null","","html-keyboard-response","6","129015","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","130017","0.0-3.0-4.0","img/won.png","","","null"
"null","","html-keyboard-response","8","131518","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3195.699999988079","","image-keyboard-response","9","134716","0.0-3.0-0.1","img/fist.png","","","2"
"null","","html-keyboard-response","10","136217","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2055.699999988079","","image-keyboard-response","11","138275","0.0-3.0-2.1","img/grizzly.png","","","2"
"null","","html-keyboard-response","12","139776","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","140778","0.0-3.0-4.1","img/lost.png","","","null"
"null","","html-keyboard-response","14","142279","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3909.2000000029802","","image-keyboard-response","15","146190","0.0-3.0-0.2","img/rock.png","","","2"
"null","","html-keyboard-response","16","147691","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2954.2000000029802","","image-keyboard-response","17","150647","0.0-3.0-2.2","img/cat.png","","","1"
"null","","html-keyboard-response","18","152148","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","153150","0.0-3.0-4.2","img/won.png","","","null"
"null","","html-keyboard-response","20","154651","0.0-3.0-5.2","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2485.2000000029802","","image-keyboard-response","21","157138","0.0-3.0-0.3","img/crow.png","","","1"
"null","","html-keyboard-response","22","158639","0.0-3.0-1.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2372.7000000029802","","image-keyboard-response","23","161014","0.0-3.0-2.3","img/gun.png","","","1"
"null","","html-keyboard-response","24","162514","0.0-3.0-3.3","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","25","163516","0.0-3.0-4.3","img/won.png","","","null"
"null","","html-keyboard-response","26","165018","0.0-3.0-5.3","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2567.5999999940395","","image-keyboard-response","27","167587","0.0-3.0-0.4","img/bow.png","","","1"
"null","","html-keyboard-response","28","169088","0.0-3.0-1.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1804.7000000029802","","image-keyboard-response","29","170895","0.0-3.0-2.4","img/crow.png","","","1"
"null","","html-keyboard-response","30","172396","0.0-3.0-3.4","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","31","173398","0.0-3.0-4.4","img/won.png","","","null"
"null","","html-keyboard-response","32","174899","0.0-3.0-5.4","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2036.2000000029802","","image-keyboard-response","33","176936","0.0-3.0-0.5","img/stick.png","","","2"
"null","","html-keyboard-response","34","178437","0.0-3.0-1.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2262.0999999940395","","image-keyboard-response","35","180701","0.0-3.0-2.5","img/grizzly.png","","","2"
"null","","html-keyboard-response","36","182202","0.0-3.0-3.5","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","37","183204","0.0-3.0-4.5","img/lost.png","","","null"
"null","","html-keyboard-response","38","184706","0.0-3.0-5.5","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2572.7000000029802","","image-keyboard-response","39","187280","0.0-3.0-0.6","img/cat.png","","","1"
"null","","html-keyboard-response","40","188781","0.0-3.0-1.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1990.4000000059605","","image-keyboard-response","41","190774","0.0-3.0-2.6","img/fist.png","","","1"
"null","","html-keyboard-response","42","192275","0.0-3.0-3.6","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","43","193277","0.0-3.0-4.6","img/lost.png","","","null"
"null","","html-keyboard-response","44","194778","0.0-3.0-5.6","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"2501.2000000029802","","image-keyboard-response","45","197281","0.0-3.0-0.7","img/gun.png","","","1"
"null","","html-keyboard-response","46","198782","0.0-3.0-1.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"3047.6000000089407","","image-keyboard-response","47","201831","0.0-3.0-2.7","img/goose.png","","","1"
"null","","html-keyboard-response","48","203332","0.0-3.0-3.7","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","49","204334","0.0-3.0-4.7","img/won.png","","","null"
"null","","html-keyboard-response","50","205835","0.0-3.0-5.7","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"6700.5999999940395","","html-keyboard-response","51","212537","0.0-4.0","<div><p style=""font-size:30px;"">You finished the instructions.</p><p style=""font-size:30px;"">The scan make take a few minutes longer.  </p><p style=""font-size:30px;"">Please relax and hold still until it is finished. </p><p style=""font-size:30px;"">We will tell you when the main game is ready to begin.</p><br><p style=""font-size:30px;""><b>Please press 3 to end.</b> </p></br></div>","3","",""
