"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"9974.900000095367","{""Q0"":""WA_006""}","survey-text","0","10001","0.0-0.0-0.0","","","",""
"75719.5","","html-keyboard-response","1","85723","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"93825.29999995232","","instructions","2","179550","0.0-2.0","","","[{""page_index"":0,""viewing_time"":2410.2999999523163},{""page_index"":1,""viewing_time"":5877.599999904633},{""page_index"":2,""viewing_time"":5302},{""page_index"":3,""viewing_time"":5244.900000095367},{""page_index"":4,""viewing_time"":9727.899999856949},{""page_index"":5,""viewing_time"":4698.900000095367},{""page_index"":6,""viewing_time"":4171.099999904633},{""page_index"":7,""viewing_time"":4595.800000190735},{""page_index"":8,""viewing_time"":2722},{""page_index"":9,""viewing_time"":1813.1999998092651},{""page_index"":10,""viewing_time"":4384.900000095367},{""page_index"":11,""viewing_time"":2630.7999999523163},{""page_index"":12,""viewing_time"":7730.900000095367},{""page_index"":13,""viewing_time"":4600},{""page_index"":14,""viewing_time"":1897},{""page_index"":15,""viewing_time"":3445.899999856949},{""page_index"":16,""viewing_time"":8121.900000095367},{""page_index"":17,""viewing_time"":1026.9000000953674},{""page_index"":18,""viewing_time"":5778.099999904633},{""page_index"":19,""viewing_time"":2884.9000000953674},{""page_index"":20,""viewing_time"":3394.0999999046326},{""page_index"":21,""viewing_time"":1365.7999999523163}]",""
"3824.899999856949","","image-keyboard-response","3","183379","0.0-3.0-0.0","img/fist.png","","","1"
"null","","html-keyboard-response","4","184880","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2950.5","","image-keyboard-response","5","187833","0.0-3.0-2.0","img/grizzly.png","","","2"
"null","","html-keyboard-response","6","189335","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","190338","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","191839","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3569.7000000476837","","image-keyboard-response","9","195411","0.0-3.0-0.1","img/bow.png","","","1"
"null","","html-keyboard-response","10","196913","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"2358.9000000953674","","image-keyboard-response","11","199274","0.0-3.0-2.1","img/crow.png","","","1"
"null","","html-keyboard-response","12","200775","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","201777","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","203278","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"3859.7999999523163","","image-keyboard-response","15","207139","0.0-3.0-0.2","img/stick.png","","","2"
"null","","html-keyboard-response","16","208640","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1780.2000000476837","","image-keyboard-response","17","210423","0.0-3.0-2.2","img/grizzly.png","","","2"
"null","","html-keyboard-response","18","211924","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
