"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","view_history","response"
"14343.20000000298","{""Q0"":""WAPilot001""}","survey-text","0","14375","0.0-0.0-0.0","","","",""
"8577","","html-keyboard-response","1","22954","0.0-1.0","<p style=""font-size:30px;"">Welcome to the experiment!</p><p style=""font-size:30px;""> You will read instructions for the game</p><p style=""font-size:30px;""> while we take a scan.</p><br><p style=""font-size:30px;"">Press ""3"" with your middle finger to read the instructions.</p></br>","3","",""
"139998.5","","instructions","2","162955","0.0-2.0","","","[{""page_index"":0,""viewing_time"":4648.0999999940395},{""page_index"":1,""viewing_time"":4043.7999999970198},{""page_index"":2,""viewing_time"":8832},{""page_index"":3,""viewing_time"":6684.9000000059605},{""page_index"":4,""viewing_time"":11271.79999999702},{""page_index"":5,""viewing_time"":6576.79999999702},{""page_index"":6,""viewing_time"":8117},{""page_index"":7,""viewing_time"":6404.9000000059605},{""page_index"":8,""viewing_time"":5773.899999991059},{""page_index"":9,""viewing_time"":5913.20000000298},{""page_index"":10,""viewing_time"":5529.600000008941},{""page_index"":11,""viewing_time"":5708.79999999702},{""page_index"":12,""viewing_time"":8428.09999999404},{""page_index"":13,""viewing_time"":6111.70000000298},{""page_index"":14,""viewing_time"":5003.9000000059605},{""page_index"":15,""viewing_time"":7088.899999991059},{""page_index"":16,""viewing_time"":3688},{""page_index"":17,""viewing_time"":3551.2999999970198},{""page_index"":18,""viewing_time"":7358.70000000298},{""page_index"":19,""viewing_time"":6757.9000000059605},{""page_index"":20,""viewing_time"":8331},{""page_index"":21,""viewing_time"":4173.899999991059}]",""
"1995.5","","image-keyboard-response","3","164955","0.0-3.0-0.0","img/stick.png","","","2"
"null","","html-keyboard-response","4","166457","0.0-3.0-1.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1325.2999999970198","","image-keyboard-response","5","167783","0.0-3.0-2.0","img/grizzly.png","","","2"
"null","","html-keyboard-response","6","169285","0.0-3.0-3.0","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","7","170287","0.0-3.0-4.0","img/lost.png","","","null"
"null","","html-keyboard-response","8","171788","0.0-3.0-5.0","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1820.5","","image-keyboard-response","9","173610","0.0-3.0-0.1","img/rock.png","","","1"
"null","","html-keyboard-response","10","175112","0.0-3.0-1.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1236.5","","image-keyboard-response","11","176350","0.0-3.0-2.1","img/cat.png","","","1"
"null","","html-keyboard-response","12","177851","0.0-3.0-3.1","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","13","178853","0.0-3.0-4.1","img/won.png","","","null"
"null","","html-keyboard-response","14","180354","0.0-3.0-5.1","<p style=""font-size: 150px; font-family: monospace;"">+</p>","null","",""
"1376.2999999970198","","image-keyboard-response","15","181732","0.0-3.0-0.2","img/crow.png","","","1"
"null","","html-keyboard-response","16","183233","0.0-3.0-1.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"1218.7000000029802","","image-keyboard-response","17","184454","0.0-3.0-2.2","img/gun.png","","","1"
"null","","html-keyboard-response","18","185955","0.0-3.0-3.2","<p style=""font-size: 60px; font-family: monospace;"">+</p>","null","",""
"null","","image-keyboard-response","19","186957","0.0-3.0-4.2","img/won.png","","","null"
