RunNumL,SetNumL,BattleNumL,FirstStimL,SecondStimL,ConfidenceL,OutcomeL,OutcomeNumL,ToneL,RunNumA,SetNumA,BattleNumA,FirstStimA,SecondStimA,ConfidenceA,OutcomeA,OutcomeNumA,ToneA,RunNumH,SetNumH,BattleNumH,FirstStimH,SecondStimH,ConfidenceH,OutcomeH,OutcomeNumH,ToneH,FullLoop.thisRepN,FullLoop.thisTrialN,FullLoop.thisN,FullLoop.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,loopA.thisRepN,loopA.thisTrialN,loopA.thisN,loopA.thisIndex,loop2.thisRepN,loop2.thisTrialN,loop2.thisN,loop2.thisIndex,loopH.thisRepN,loopH.thisTrialN,loopH.thisN,loopH.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trigger_image.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,wait.stopped,firststim_img_loop1.started,isi_conf_stim1_loop1.started,conf_img_stim1_loop1.started,conf_resp_stim1_loop1.started,conf_resp_stim1_loop1.keys,conf_resp_stim1_loop1.rt,isi_stim_1,isi_stim_loop1.started,isi_stim_loop1.stopped,secondstim_img_loop1.started,isi_conf_stim2_loop1.started,conf_img_stim2_loop1.started,conf_resp_stim2_loop1.started,conf_resp_stim2_loop1.keys,conf_resp_stim2_loop1.rt,isi_outcome.started,outcome_img_loop1.started,Tone_loop1.started,Tone_loop1.stopped,jitter_iti_1,iti_loop1.started,iti_loop1.stopped,secondstim_img_loop1.stopped,firststim_img_loop1.stopped,firststim_img_loop2.started,isi_conf_stim1_loop2.started,conf_img_stim1_loop2.started,conf_resp_stim1_loop2.started,conf_resp_stim1_loop2.keys,conf_resp_stim1_loop2.rt,isi_stim_2,isi_stim_loop2.started,isi_stim_loop2.stopped,secondstim_img_loop2.started,isi_conf_loop2.started,conf_img_stim2_loop2.started,conf_resp_stim2_loop2.started,conf_resp_stim2_loop2.keys,conf_resp_stim2_loop2.rt,outcome_image_loop2.started,Tone_loop2.started,Tone_loop2.stopped,jitter_iti_2,iti_loop2.started,iti_loop2.stopped,firststim_img_loop2.stopped,secondstim_img_loop2.stopped,outcome_image_loop2.stopped,firststim_img_loop3.started,isi_conf_stim1_loop3.started,conf_img_stim1_loop3.started,conf_resp_stim1_loop3.started,conf_resp_stim1_loop3.keys,conf_resp_stim1_loop3.rt,isi_stim_3,isi_stim_loop3.started,isi_stim_loop3.stopped,secondstim_img_loop3.started,isi_conf_stim2_loop3.started,conf_img_stim2_loop3.started,conf_resp_stim2_loop3.started,conf_resp_stim2_loop3.keys,conf_resp_stim2_loop3.rt,outcome_img_loop3.started,Tone_loop3.started,Tone_loop3.stopped,jitter_iti_3,iti_loop3.started,iti_loop3.stopped,firststim_img_loop3.stopped,secondstim_img_loop3.stopped,outcome_img_loop3.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.665759082883596,19.665759082883596,t,5.146643666084856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,12,img/Agent_LS.png,img/AW.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,24.842978541040793,29.85987279098481,29.85987279098481,30.85907341586426,31.123991374857724,31.123991374857724,['c'],[1.0758920409716666],1.0,32.22589370794594,33.22923116595484,33.22923116595484,34.22557516605593,34.476896041072905,34.476896041072905,['c'],[0.40185858285985887],34.91252712486312,35.22120349993929,35.359282345534304,36.659686707891524,2.0,36.67654599994421,38.67801370797679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,3,img/Agent_LM.png,img/AM.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,38.67801370797679,39.67612912505865,39.92574383295141,39.92574383295141,['b'],[1.0065048329997808],1.0,40.96027841605246,41.960118083050475,41.960118083050475,42.97626695805229,43.2267138750758,43.2267138750758,['c'],[1.2931045407894999],44.54363558301702,44.829519249964505,44.975866928487086,46.27584654092789,1.0,46.30928995786235,47.31113116606139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,18,img/Agent_LW.png,img/LM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,47.31113116606139,48.30961687490344,48.559548791032284,48.559548791032284,['c'],[0.3254281661938876],2.0,48.908835040871054,50.91103041591123,50.91103041591123,51.92611899995245,52.17590487492271,52.17590487492271,['a'],[0.2897098739631474],52.49327291594818,52.760532750049606,52.9264833035646,54.22610891587101,0.5,54.242834999924526,54.743536832975224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,7,img/Agent_LM.png,img/HW.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,54.743536832975224,55.74288887507282,55.99263554089703,55.99263554089703,['c'],[0.18834833288565278],2.0,56.20968983299099,58.21083916607313,58.21083916607313,59.2100531659089,59.45949191600084,59.45949191600084,['b'],[0.5626410830300301],60.04263533302583,60.31745491595939,60.476376262516716,61.77610483299941,2.0,61.809441457968205,63.81035187491216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,24,img/Agent_LW.png,img/HW.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,63.81035187491216,64.82614487502724,65.05987733299844,65.05987733299844,['b'],[1.0426997081376612],0.5,66.1260479579214,66.62697237497196,66.62697237497196,67.62668054085225,67.8761362079531,67.8761362079531,['b'],[0.40226204111240804],68.30960829090327,68.56649641599506,68.74346022054087,70.04285195795819,1.5,70.05941104097292,71.56035987497307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,23,img/Agent_LW.png,img/HM.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,22,,,,,,,,,,,,,,,,,,,,,,,71.56035987497307,72.5598990409635,72.80986362486146,72.80986362486146,['b'],[0.44975362392142415],0.5,73.29336229106411,73.79445483302698,73.79445483302698,74.80994620802812,75.05949612497352,75.05949612497352,['a'],[0.4499432910233736],75.52679987507872,75.80019270791672,75.96081697035115,77.25981616601348,1.5,77.29283987497911,78.79402583301999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,15,img/Agent_LS.png,img/LM.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,78.79402583301999,79.8097761659883,80.0595633329358,80.0595633329358,['c'],[0.09654195699840784],0.5,80.17603304097429,80.69086845801212,80.69086845801212,81.67625987506472,81.92607858288102,81.92607858288102,['b'],[0.7822751661296934],82.7268948329147,82.99971391586587,83.15962659546639,84.45982170803472,2.0,84.49289579107426,86.49412087490782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,21,img/Agent_LW.png,img/AS.png,img/confidence.png,img/won.png,1,img/Silent.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,20,,,,,,,,,,,,,,,,,,,,,,,86.49412087490782,87.49274566606618,87.74305174988694,87.74305174988694,['b'],[0.2571675411891192],0.5,88.0260438749101,88.52666887501255,88.52666887501255,89.52637237496674,89.77637212490663,89.77637212490663,['c'],[0.24354833317920566],90.04355483292602,90.31635795789771,90.47743930344004,91.79313162504695,1.5,91.8094158328604,93.31033437489532,89.52637237496674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
1,1,17,img/Agent_LW.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,93.31033437489532,94.30995499994606,94.55972587503493,94.55972587503493,['b'],[0.3446662079077214],1.5,94.92685645795427,96.42648712499067,96.42648712499067,97.42625991604291,97.69269179087132,97.69269179087132,['b'],[1.337710291147232],99.06048412504606,99.32722441595979,99.49301192841958,100.79294079099782,0.5,100.82640816597268,101.32707729097456,97.42625991604291,94.30995499994606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,001,2023-12-10_16h27.50.007,Gen_Run1_Tone,2023.1.0,59.94736617461624,
