2.4410 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.9292 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1440, 900]. Using actual size
24.8374 	DATA 	Keypress: t
32.2144 	DATA 	Keypress: c
34.9086 	DATA 	Keypress: c
40.9463 	DATA 	Keypress: b
44.5290 	DATA 	Keypress: c
48.8967 	DATA 	Keypress: c
52.4790 	DATA 	Keypress: a
55.4939 	DATA 	Mouse: wheel shift=(0,0), pos=(765,583)
56.1962 	DATA 	Keypress: c
56.1966 	DATA 	Mouse: wheel shift=(0,0), pos=(765,583)
60.0296 	DATA 	Keypress: b
61.5772 	DATA 	Mouse: wheel shift=(0,0), pos=(763,583)
64.1768 	DATA 	Mouse: wheel shift=(0,0), pos=(763,583)
66.1130 	DATA 	Keypress: b
68.2948 	DATA 	Keypress: b
73.2796 	DATA 	Keypress: b
75.5296 	DATA 	Keypress: a
80.1627 	DATA 	Keypress: c
82.7132 	DATA 	Keypress: b
88.0126 	DATA 	Keypress: b
90.0299 	DATA 	Keypress: c
91.8767 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.8769 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.8946 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.9108 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.9276 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.9438 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.9611 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.9778 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
91.9942 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0106 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0273 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0426 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0594 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0775 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0935 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.0937 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
92.1108 	DATA 	Mouse: wheel shift=(0,0), pos=(767,584)
